epoch,train_loss,train_acc,test_acc
1,0.02521307026606281,0.47312,0.4847
2,0.013312005466420432,0.57136,0.5901
3,0.009555614073475709,0.61314,0.647
4,0.0071193076912503764,0.64304,0.6367
5,0.005413965822187994,0.66526,0.6341
6,0.004236604847318056,0.6845,0.6708
7,0.0030771703714723413,0.71596,0.6754
8,0.0022427544112991996,0.7474,0.678
9,0.001650548335734983,0.77664,0.6927
10,0.0015927989315597949,0.778,0.6872
11,0.0012362696252981847,0.7968,0.6931
12,0.0010512830892682303,0.81508,0.6741
13,0.0013716044673596375,0.78924,0.6755
14,0.0010073847679079187,0.81194,0.6961
15,0.000820131700697393,0.83454,0.6837
