epoch,train_loss,train_acc,test_acc
1,1.735178906698616,0.38866,0.5781
2,1.4403333487559338,0.49646,0.6493
3,1.2908257069636364,0.54382,0.6467
4,1.1526346790547273,0.59086,0.6615
5,1.004332682611991,0.64086,0.5882
6,0.8275783128884374,0.70146,0.6372
7,0.6293002943299255,0.77812,0.5409
8,0.4252167582816007,0.85308,0.5403
9,0.28651063524338666,0.90466,0.5343
10,0.17938713071753784,0.94432,0.5509
11,0.116482408793301,0.96712,0.5558
12,0.09509132504083063,0.97254,0.5702
13,0.09361864620705648,0.97136,0.5562
14,0.10696585288233294,0.96556,0.5422
15,0.13874576666525432,0.95246,0.5744
