epoch,train_loss,train_acc,test_acc
1,0.9754341132178599,0.50558,0.5672
2,0.6786671025412423,0.63792,0.6507
3,0.5328189093543558,0.69772,0.6643
4,0.41566774370718973,0.74306,0.6856
5,0.3040071400452633,0.79218,0.6826
6,0.20225557890169474,0.84826,0.7088
7,0.1269022552486585,0.89546,0.6839
8,0.0840894267419163,0.92752,0.7026
9,0.062065962530976654,0.94484,0.7091
10,0.05857721363593425,0.94772,0.7083
11,0.06556633424622063,0.94204,0.6733
12,0.07237054141504425,0.9357,0.7079
13,0.04756515177574997,0.95774,0.7338
14,0.019051511465495795,0.98408,0.7422
15,0.00679105599006942,0.9958,0.7468
